query_duration,query_stream_id,query_id,data_scanned,cpu_time
3.401,5,14,131.05,87000
32.606,19,18,10874.88,73222080
2.685,8,19,309.56,361060
2.407,3,1,36.89,149560
11.507,19,14,17254.4,10324000
5.335,8,10,266.13,665770
4.716,0,22,6.29,19820
3.417,3,11,12.18,15720
4.908,3,20,53.74,46310
8.612,19,11,3000.32,5596320
4.471,3,17,45.17,42430
3.977,2,17,45.17,42430
8.455,12,21,2099.2,2602220
5.257,15,14,2775.04,1711000
6.618,8,5,328.42,46333
4.723,3,5,41.06,6619
6.219,3,8,64.36,67480
4.826,5,21,263.47,339420
5.632,5,7,150.19,183270
7.822,15,5,2744.32,390521
9.478,15,9,4096.0,7543150
3.408,8,16,22.34,229530
5.507,8,20,358.53,324170
3.619,3,4,24.68,58190
27.267,19,18,10874.88,73222080
4.477,3,2,10.0,55150
5.126,8,11,89.68,110040
4.754,5,17,110.57,127290
4.156,7,22,33.24,99100
4.336,3,20,53.74,46310
4.014,3,16,3.42,32790
7.268,3,2,10.0,55150
3.006,3,1,36.89,149560
4.112,8,10,266.13,665770
7.685,3,7,47.45,61090
8.62,8,8,441.41,472360
5.576,8,16,22.34,229530
4.14,12,22,161.05,455860
5.323,3,2,10.0,55150
5.463,5,5,130.69,19857
25.301,19,18,10874.88,73222080
26.896,19,18,10874.88,73222080
4.14,0,1,36.89,149560
4.7,3,3,38.94,112050
3.863,8,14,313.68,203000
3.628,8,19,309.56,361060
3.0,3,14,52.0,29000
4.381,8,4,171.69,407330
4.007,8,15,630.71,324730
6.673,11,8,1167.36,1147160
12.592,15,15,5140.48,2737010
4.715,15,6,1945.6,1031910
7.147,8,20,358.53,324170
3.221,8,22,46.48,138740
3.135,9,12,330.81,642000
3.847,8,13,137.23,1022140
8.037,19,11,3000.32,5596320
52.213,19,17,14837.76,15105080
6.817,8,10,266.13,665770
3.222,8,12,231.89,449400
11.357,13,9,2109.44,3963350
4.34,8,3,274.96,784350
3.582,5,12,99.52,192600
3.595,8,12,231.89,449400
2.92,8,6,230.65,122430
4.198,15,4,1474.56,3433210
3.19,3,17,45.17,42430
5.369,8,20,358.53,324170
4.079,8,11,89.68,110040
4.667,8,17,266.05,297010
7.832,8,8,441.41,472360
3.833,15,11,499.78,927480
3.578,5,6,98.91,52470
4.423,8,16,22.34,229530
4.821,8,14,313.68,203000
4.338,8,4,171.69,407330
6.257,14,1,1587.2,6431080
12.956,13,17,1218.56,1315330
2.066,8,22,46.48,138740
6.602,8,20,358.53,324170
5.72,8,16,22.34,229530
5.493,3,20,53.74,46310
6.78,3,9,71.45,127850
3.104,3,6,32.98,17490
4.365,5,17,110.57,127290
6.681,3,20,53.74,46310
5.462,3,7,47.45,61090
7.227,13,20,1505.28,1435610
4.522,3,15,79.18,46390
7.282,8,5,328.42,46333
4.539,3,2,10.0,55150
4.585,8,20,358.53,324170
5.457,13,22,218.97,614420
4.148,8,14,313.68,203000
4.878,2,10,37.8,95110
4.979,8,15,630.71,324730
3.624,5,15,251.44,139170
6.537,7,21,458.61,565700
9.303,15,10,2314.24,5611490
3.248,8,14,313.68,203000
4.974,15,16,68.05,1934610
5.861,15,11,499.78,927480
3.637,8,11,89.68,110040
3.365,5,3,117.33,336150
25.594,19,10,14151.68,33859160
4.044,13,11,266.54,487320
2.756,8,13,137.23,1022140
4.742,7,19,217.76,257900
6.22,15,10,2314.24,5611490
4.718,15,6,1945.6,1031910
7.528,15,10,2314.24,5611490
8.856,16,7,4552.35,5192650
8.273,15,14,2775.04,1711000
4.961,13,14,1433.66,899000
6.328,15,20,2949.12,2732290
4.47,9,11,142.86,157200
6.459,3,7,47.45,61090
4.293,13,13,623.2,4526620
4.724,13,12,1034.24,1990200
4.486,15,6,1945.6,1031910
3.855,8,19,309.56,361060
25.366,19,18,10874.88,73222080
5.576,2,9,71.45,127850
10.216,19,4,8806.4,20715640
5.076,8,1,258.01,1046920
8.611,11,21,1873.92,1923380
3.412,8,7,373.81,427630
3.421,3,14,52.0,29000
3.221,15,6,1945.6,1031910
3.986,8,3,274.96,784350
3.691,3,4,24.68,58190
9.92,8,11,89.68,110040
10.601,15,21,5560.32,6675260
6.789,13,8,1955.84,2091880
4.853,8,5,328.42,46333
4.387,8,19,309.56,361060
4.025,15,16,68.05,1934610
8.397,19,19,17059.84,18362480
4.618,15,11,499.78,927480
5.14,8,10,266.13,665770
2.587,2,14,52.0,29000
6.134,8,5,328.42,46333
4.886,8,19,309.56,361060
5.006,3,17,45.17,42430
3.755,15,13,1198.08,8615180
5.736,11,21,1873.92,1923380
8.783,8,9,492.09,894950
5.618,8,2,79.16,386050
8.553,15,7,3120.15,3604310
2.643,5,1,110.61,448680
6.633,13,1,1146.88,4636360
3.296,8,13,137.23,1022140
6.069,8,2,79.16,386050
3.902,3,10,37.8,95110
4.541,8,3,274.96,784350
4.317,8,10,266.13,665770
6.383,16,19,3952.64,4384300
5.521,15,3,2375.68,6610950
4.059,3,17,45.17,42430
3.903,8,13,137.23,1022140
5.469,15,6,1945.6,1031910
4.952,7,5,225.31,33095
3.641,8,4,171.69,407330
3.328,8,12,231.89,449400
6.483,8,11,89.68,110040
26.989,19,18,10874.88,73222080
2.335,5,6,98.91,52470
4.152,8,1,258.01,1046920
4.917,15,4,1474.56,3433210
5.799,3,21,80.86,113140
32.5,19,18,10874.88,73222080
6.226,3,8,64.36,67480
17.768,16,9,5949.44,10867250
7.265,19,11,3000.32,5596320
7.259,8,9,492.09,894950
3.488,7,22,33.24,99100
4.236,8,13,137.23,1022140
3.916,8,19,309.56,361060
3.507,12,13,462.14,3358460
5.341,8,3,274.96,784350
6.62,15,19,2744.32,3043220
4.122,3,5,41.06,6619
6.881,15,7,3120.15,3604310
25.824,19,18,10874.88,73222080
7.964,8,7,373.81,427630
5.635,15,12,1986.56,3787800
5.4,8,20,358.53,324170
5.535,5,21,263.47,339420
6.884,15,20,2949.12,2732290
3.542,5,4,73.68,174570
6.714,3,3,38.94,112050
2.684,8,19,309.56,361060
5.075,15,13,1198.08,8615180
5.548,8,21,680.89,791980
11.531,19,14,17254.4,10324000
4.828,3,15,79.18,46390
5.216,8,12,231.89,449400
4.116,8,6,230.65,122430
5.208,8,10,266.13,665770
3.37,8,2,79.16,386050
3.749,3,11,12.18,15720
25.889,19,18,10874.88,73222080
2.451,8,19,309.56,361060
4.06,8,1,258.01,1046920
4.394,8,13,137.23,1022140
28.723,19,18,10874.88,73222080
4.865,5,2,39.35,165450
5.653,5,5,130.69,19857
5.318,8,11,89.68,110040
3.954,8,12,231.89,449400
3.778,8,22,46.48,138740
2.547,3,6,32.98,17490
9.35,8,9,492.09,894950
5.438,2,4,24.68,58190
3.892,8,4,171.69,407330
5.425,8,10,266.13,665770
4.656,8,16,22.34,229530
10.005,8,13,137.23,1022140
6.125,8,21,680.89,791980
4.005,8,14,313.68,203000
