database_id,scale_factor,query_id,start,cpu_time,data_scanned
2,10,2,7173323.5,18908.571428571428,400.0
2,10,19,7173391.9,17684.571428571428,2056.0
2,10,22,7173622.9,6795.4285714285725,251.6
2,10,19,7173749.4,17684.571428571428,2056.0
2,10,14,7173805.3,9942.857142857143,2080.0
2,10,14,7173916.8,9942.857142857143,2080.0
2,10,22,7174261.1,6795.4285714285725,251.6
2,10,3,7174575.6,38417.142857142855,1557.6
2,10,22,7175417.2,6795.4285714285725,251.6
2,10,14,7175440.4,9942.857142857143,2080.0
2,10,15,7175757.3,15905.142857142855,3167.2000000000003
2,10,10,7175943.5,32609.14285714286,1512.0
2,10,11,7176064.1,5389.714285714286,487.2
2,10,2,7176600.2,18908.571428571428,400.0
2,10,18,7176815.1,70518.85714285714,1064.0
2,10,18,7178546.8,70518.85714285714,1064.0
2,10,2,7178874.6,18908.571428571428,400.0
2,10,3,7179640.5,38417.142857142855,1557.6
2,10,18,7179690.1,70518.85714285714,1064.0
2,10,17,7180057.2,14547.42857142857,1806.8000000000002
2,10,9,7180078.1,43834.28571428571,2858.0
2,10,16,7180147.9,11242.285714285714,136.8
2,10,12,7180240.5,22011.428571428572,1327.6
2,10,2,7181318.6,18908.571428571428,400.0
2,10,19,7181405.7,17684.571428571428,2056.0
2,10,12,7181764.8,22011.428571428572,1327.6
2,10,8,7181856.6,23136.0,2574.4
2,10,20,7182149.5,15877.714285714286,2149.6
2,10,9,7182678.5,43834.28571428571,2858.0
2,10,9,7182705.6,43834.28571428571,2858.0
2,10,16,7182899.4,11242.285714285714,136.8
2,10,16,7183070.1,11242.285714285714,136.8
2,10,14,7183235.5,9942.857142857143,2080.0
2,10,22,7183300.4,6795.4285714285725,251.6
2,10,9,7183494.7,43834.28571428571,2858.0
2,10,11,7183758.8,5389.714285714286,487.2
2,10,9,7185375.9,43834.28571428571,2858.0
2,10,15,7185931.4,15905.142857142855,3167.2000000000003
2,10,16,7186403.9,11242.285714285714,136.8
2,10,3,7186930.7,38417.142857142855,1557.6
2,10,12,7187032.2,22011.428571428572,1327.6
2,10,17,7187282.0,14547.42857142857,1806.8000000000002
2,10,11,7187469.3,5389.714285714286,487.2
2,10,3,7188898.2,38417.142857142855,1557.6
2,10,15,7189132.5,15905.142857142855,3167.2000000000003
2,10,19,7189388.4,17684.571428571428,2056.0
2,10,10,7189696.8,32609.14285714286,1512.0
2,10,17,7190830.2,14547.42857142857,1806.8000000000002
2,10,17,7191949.3,14547.42857142857,1806.8000000000002
2,10,22,7192690.0,6795.4285714285725,251.6
2,10,8,7192914.6,23136.0,2574.4
2,10,17,7193416.4,14547.42857142857,1806.8000000000002
2,10,17,7194149.8,14547.42857142857,1806.8000000000002
2,10,2,7194693.3,18908.571428571428,400.0
2,10,2,7195006.1,18908.571428571428,400.0
2,10,10,7195772.4,32609.14285714286,1512.0
2,10,11,7196742.1,5389.714285714286,487.2
2,10,10,7197305.8,32609.14285714286,1512.0
2,10,12,7198422.4,22011.428571428572,1327.6
2,10,18,7198523.8,70518.85714285714,1064.0
2,10,1,7198808.2,51277.71428571428,1475.6
