query_stream_id,query_id,start,query_duration,query_duration_with_queue,Data Scanned,cpu_time
8,19,189725,1079,1079,309.56,361060.0
3,16,190202,1448,1449,3.42,32790.0
3,4,190297,633,634,24.68,58190.0
11,2,190778,3814,4232,177.06,937550.0
3,4,191179,3190,3191,24.68,58190.0
8,15,191719,609,609,630.71,324730.0
3,7,191942,4651,4652,47.45,61090.0
8,8,192284,798,798,441.41,472360.0
8,2,193559,337,338,79.16,386050.0
8,13,194624,142,144,137.23,1022140.0
3,9,195613,309,310,71.45,127850.0
3,1,195678,417,747,36.89,149560.0
8,12,196056,347,348,231.89,449400.0
15,13,198137,4020,4390,1198.08,8615180.0
8,2,198667,564,565,79.16,386050.0
8,7,198676,585,585,373.81,427630.0
8,11,199181,551,911,89.68,110040.0
8,1,199391,1421,1421,258.01,1046920.0
8,6,199507,311,311,230.65,122430.0
5,12,200601,483,855,99.52,192600.0
16,18,203127,2376,2722,2355.2,17482800.0
8,18,203301,2007,2007,194.46,1439760.0
8,11,204889,726,727,89.68,110040.0
8,23,205180,0,0,0.0,
8,11,205587,703,703,89.68,110040.0
8,3,206174,484,484,274.96,784350.0
8,14,207620,404,405,313.68,203000.0
8,5,207999,4877,4877,328.42,46333.0
2,18,208326,416,808,26.6,205680.0
19,23,208495,0,2,0.0,
5,9,209266,731,731,200.62,383550.0
8,13,210071,838,838,137.23,1022140.0
8,8,210372,617,1025,441.41,472360.0
5,12,212420,268,268,99.52,192600.0
9,4,217461,1142,1504,244.77,581900.0
8,5,220906,780,781,328.42,46333.0
3,5,221064,474,811,41.06,6619.0
8,3,221444,647,1005,274.96,784350.0
8,15,221771,677,677,630.71,324730.0
2,19,224379,591,976,51.4,51580.0
8,2,224397,338,338,79.16,386050.0
8,22,224682,873,874,46.48,138740.0
8,6,224830,292,292,230.65,122430.0
8,7,224923,634,998,373.81,427630.0
15,1,225038,9287,9630,2170.88,8824040.0
8,2,226575,389,391,79.16,386050.0
8,20,226599,1172,1173,358.53,324170.0
8,1,227019,1409,1410,258.01,1046920.0
8,8,227139,1249,1251,441.41,472360.0
11,10,227233,471,846,652.68,1616870.0
8,6,227895,493,494,230.65,122430.0
8,18,227943,1419,1865,194.46,1439760.0
8,18,228029,116,475,194.46,1439760.0
15,5,228784,7239,7595,2744.32,390521.0
15,13,230429,6900,7268,1198.08,8615180.0
8,19,230690,1830,1831,309.56,361060.0
5,4,230787,1041,1379,73.68,174570.0
16,12,231180,5287,5634,2856.96,5457000.0
8,11,231212,1040,1041,89.68,110040.0
8,15,232974,2609,2611,630.71,324730.0
8,1,233140,1734,1735,258.01,1046920.0
3,22,233191,670,1018,6.29,19820.0
8,23,233473,0,2,0.0,
3,21,233735,1901,2296,80.86,113140.0
3,19,233998,804,1159,51.4,51580.0
5,2,235011,796,796,39.35,165450.0
8,11,236231,821,822,89.68,110040.0
8,19,236920,734,735,309.56,361060.0
8,14,237783,450,451,313.68,203000.0
8,16,238652,1505,1507,22.34,229530.0
13,7,238942,704,1100,1616.34,1893790.0
8,21,239425,3402,3403,680.89,791980.0
8,9,240042,1218,1557,492.09,894950.0
19,3,241805,17016,17405,14551.04,39889800.0
8,15,241978,848,849,630.71,324730.0
8,14,242176,651,652,313.68,203000.0
3,10,242303,597,598,37.8,95110.0
3,15,244782,267,269,79.18,46390.0
8,15,246226,627,630,630.71,324730.0
8,14,246616,510,512,313.68,203000.0
5,14,248488,435,804,131.05,87000.0
8,16,249525,1965,1966,22.34,229530.0
8,3,250630,521,522,274.96,784350.0
2,22,252700,422,815,6.29,19820.0
5,15,252703,435,438,251.44,139170.0
13,20,253337,4694,5085,1505.28,1435610.0
15,14,253624,4020,4358,2775.04,1711000.0
8,2,253830,434,435,79.16,386050.0
3,14,254366,191,192,52.0,29000.0
8,12,255142,910,911,231.89,449400.0
13,10,255617,1351,1742,1208.32,2948410.0
3,18,255958,1618,1619,26.6,205680.0
3,23,256568,0,1,0.0,
8,5,256620,1804,1805,328.42,46333.0
3,11,258148,382,384,12.18,15720.0
8,1,258415,1134,1135,258.01,1046920.0
5,19,261726,781,781,129.23,154740.0
11,21,261778,3517,3915,1873.92,1923380.0
16,23,262356,0,0,0.0,
8,2,263928,326,328,79.16,386050.0
8,6,263967,213,215,230.65,122430.0
8,23,264908,0,1,0.0,
8,18,265006,118,119,194.46,1439760.0
5,18,265246,122,123,83.54,617040.0
15,9,265399,7731,7733,4096.0,7543150.0
8,7,266599,1058,1059,373.81,427630.0
8,14,266955,682,683,313.68,203000.0
8,18,267461,1347,1700,194.46,1439760.0
5,6,267689,170,171,98.91,52470.0
3,23,268110,0,1,0.0,
3,22,268156,760,760,6.29,19820.0
8,23,268889,0,1,0.0,
8,3,269295,805,806,274.96,784350.0
5,21,269320,2373,2373,263.47,339420.0
5,15,269328,405,754,251.44,139170.0
8,4,271948,768,769,171.69,407330.0
8,5,272022,709,710,328.42,46333.0
15,6,275271,699,701,1945.6,1031910.0
8,4,276154,666,668,171.69,407330.0
5,9,276300,684,684,200.62,383550.0
8,14,277760,465,466,313.68,203000.0
3,6,278779,201,201,32.98,17490.0
15,15,280449,1384,1385,5140.48,2737010.0
13,6,282286,237,606,1021.14,542190.0
8,10,283389,197,199,266.13,665770.0
8,8,285324,698,699,441.41,472360.0
3,1,286613,326,327,36.89,149560.0
8,10,288518,193,194,266.13,665770.0
5,3,289942,583,925,117.33,336150.0
13,18,289945,3165,3166,862.73,6376080.0
8,22,290486,980,981,46.48,138740.0
3,19,291764,401,401,51.4,51580.0
5,15,293536,300,300,251.44,139170.0
8,11,294132,607,609,89.68,110040.0
8,19,294166,602,933,309.56,361060.0
3,19,294780,335,335,51.4,51580.0
5,9,295535,672,673,200.62,383550.0
8,10,295941,208,209,266.13,665770.0
8,11,296625,671,672,89.68,110040.0
19,21,297681,27323,27692,35696.64,40277840.0
3,13,298152,373,374,18.72,146020.0
13,18,298277,7772,7773,862.73,6376080.0
13,5,298295,11468,11838,1413.12,205189.0
8,1,298397,1767,1768,258.01,1046920.0
8,2,298711,894,895,79.16,386050.0
5,11,299358,720,721,42.57,47160.0
15,2,299700,811,1186,412.6,3253850.0
8,15,299775,908,909,630.71,324730.0
15,12,299967,14593,14945,1986.56,3787800.0
8,14,300162,571,901,313.68,203000.0
5,7,301452,760,761,150.19,183270.0
13,4,301935,7971,8362,770.67,1803890.0
8,21,302104,3539,3540,680.89,791980.0
8,14,302227,619,620,313.68,203000.0
2,21,302900,2200,2593,80.86,113140.0
15,10,303392,300,302,2314.24,5611490.0
8,3,303935,1026,1027,274.96,784350.0
8,14,304955,123,124,313.68,203000.0
8,14,306355,449,451,313.68,203000.0
8,9,306856,889,890,492.09,894950.0
8,8,307235,744,745,441.41,472360.0
10,12,307595,6051,6436,430.26,834600.0
8,9,308866,1710,1712,492.09,894950.0
8,19,308872,1677,1678,309.56,361060.0
8,20,308936,1589,1592,358.53,324170.0
8,16,309283,1985,3229,22.34,229530.0
3,5,309352,381,782,41.06,6619.0
8,11,310016,1014,1548,89.68,110040.0
8,1,310765,1641,1643,258.01,1046920.0
8,22,312514,1089,1090,46.48,138740.0
5,9,313197,1581,2043,200.62,383550.0
8,9,313684,2172,2173,492.09,894950.0
8,14,313724,881,883,313.68,203000.0
9,5,315015,6678,7012,490.83,66190.0
8,7,315325,1192,1193,373.81,427630.0
8,18,315463,108,110,194.46,1439760.0
8,4,315773,1261,1263,171.69,407330.0
8,14,316146,616,617,313.68,203000.0
8,4,317428,869,871,171.69,407330.0
3,4,317469,422,422,24.68,58190.0
3,13,317932,407,408,18.72,146020.0
8,15,318619,576,577,630.71,324730.0
8,1,321245,1091,1092,258.01,1046920.0
8,2,321344,521,522,79.16,386050.0
8,5,322232,1391,1392,328.42,46333.0
2,6,325646,149,509,32.98,17490.0
19,3,325865,9406,9407,14551.04,39889800.0
3,17,326035,533,533,45.17,42430.0
13,16,327839,2581,2941,35.82,1016490.0
8,14,328447,458,459,313.68,203000.0
8,8,328484,675,676,441.41,472360.0
11,13,329520,3078,3445,340.48,2482340.0
8,20,329659,1390,1392,358.53,324170.0
8,19,329707,1263,1265,309.56,361060.0
8,16,330197,4396,4745,22.34,229530.0
5,18,330890,2192,2542,83.54,617040.0
13,17,331473,3775,3775,1218.56,1315330.0
8,12,333250,1059,1060,231.89,449400.0
8,11,333562,1118,1120,89.68,110040.0
16,14,333622,900,1235,3993.6,2465000.0
3,2,334021,481,482,10.0,55150.0
8,10,334343,257,259,266.13,665770.0
3,23,334425,0,1,0.0,
13,19,335163,3541,3866,1413.12,1598980.0
8,8,335772,1011,1013,441.41,472360.0
13,17,335994,2506,2506,1218.56,1315330.0
19,4,336607,6878,6879,8806.4,20715640.0
5,16,336734,2279,2280,11.25,98370.0
3,6,337266,411,412,32.98,17490.0
16,20,339471,1296,1298,4290.56,3936350.0
8,5,340000,768,770,328.42,46333.0
3,15,340345,260,260,79.18,46390.0
15,22,341797,2746,3130,425.06,1169380.0
8,22,342470,790,791,46.48,138740.0
3,12,343724,288,288,33.19,64200.0
11,23,343995,0,1,0.0,
15,22,344535,2718,3062,425.06,1169380.0
3,7,344572,277,277,47.45,61090.0
3,11,345062,350,350,12.18,15720.0
9,19,346922,1766,2094,442.65,515800.0
15,21,347455,8074,8075,5560.32,6675260.0
8,2,347685,504,505,79.16,386050.0
3,6,347744,229,230,32.98,17490.0
13,20,348416,2927,2927,1505.28,1435610.0
3,17,349093,298,298,45.17,42430.0
8,21,350318,2529,2530,680.89,791980.0
8,8,351707,744,1161,441.41,472360.0
8,10,351971,489,877,266.13,665770.0
3,15,352810,304,304,79.18,46390.0
8,10,353765,206,207,266.13,665770.0
8,5,354002,1054,1056,328.42,46333.0
8,7,354338,750,752,373.81,427630.0
8,19,355762,635,637,309.56,361060.0
3,15,356364,256,257,79.18,46390.0
2,10,356808,227,590,37.8,95110.0
3,5,358463,447,448,41.06,6619.0
3,5,358578,600,1038,41.06,6619.0
3,1,359569,312,313,36.89,149560.0
8,18,359966,147,148,194.46,1439760.0
15,2,360100,343,344,412.6,3253850.0
5,16,360626,1494,1895,11.25,98370.0
3,13,361336,273,273,18.72,146020.0
3,22,361418,424,425,6.29,19820.0
3,11,362610,319,319,12.18,15720.0
5,19,364440,690,691,129.23,154740.0
13,11,364500,1236,1591,266.54,487320.0
3,15,365040,256,256,79.18,46390.0
5,4,365892,561,562,73.68,174570.0
5,22,366615,537,538,19.48,59460.0
3,7,368416,297,297,47.45,61090.0
3,2,369169,331,331,10.0,55150.0
8,18,369718,134,135,194.46,1439760.0
8,8,370274,600,601,441.41,472360.0
15,11,370471,2937,3284,499.78,927480.0
2,11,370594,298,626,12.18,15720.0
3,21,371024,1520,1520,80.86,113140.0
5,19,371325,808,808,129.23,154740.0
8,14,371376,740,741,313.68,203000.0
15,2,371488,353,719,412.6,3253850.0
3,19,372126,307,656,51.4,51580.0
3,23,373254,0,0,0.0,
13,11,373389,1271,1272,266.54,487320.0
5,23,373898,0,0,0.0,
8,1,374870,933,934,258.01,1046920.0
8,2,376246,327,328,79.16,386050.0
8,7,376257,495,844,373.81,427630.0
3,13,376350,114,115,18.72,146020.0
8,19,377027,642,643,309.56,361060.0
8,5,378365,790,792,328.42,46333.0
13,6,379773,369,370,1021.14,542190.0
8,17,380946,427,429,266.05,297010.0
5,6,381374,146,147,98.91,52470.0
5,15,381854,453,453,251.44,139170.0
5,10,385639,198,199,113.55,285330.0
8,16,387873,1770,1771,22.34,229530.0
15,10,389261,262,645,2314.24,5611490.0
8,2,390081,386,388,79.16,386050.0
16,5,393262,1837,2216,4014.08,562615.0
13,10,395210,209,591,1208.32,2948410.0
11,21,396468,3713,4077,1873.92,1923380.0
13,1,398248,5569,5569,1146.88,4636360.0
19,20,398435,4391,4749,19015.68,16486360.0
15,14,400038,5944,6316,2775.04,1711000.0
3,22,401370,626,962,6.29,19820.0
3,9,401496,642,975,71.45,127850.0
8,22,402119,880,1226,46.48,138740.0
3,21,402254,1485,1853,80.86,113140.0
11,12,403116,2787,2787,563.11,1091400.0
3,11,403439,317,317,12.18,15720.0
3,23,404330,0,1,0.0,
8,13,404789,2300,2301,137.23,1022140.0
3,14,405290,310,311,52.0,29000.0
5,23,406705,0,0,0.0,
3,13,408345,127,127,18.72,146020.0
19,1,410053,6800,6801,13117.44,53243360.0
3,10,410099,214,214,37.8,95110.0
8,15,410845,582,584,630.71,324730.0
2,5,412169,786,1126,41.06,6619.0
13,16,412235,3278,3279,35.82,1016490.0
13,9,412396,5529,5890,2109.44,3963350.0
5,18,412810,116,475,83.54,617040.0
16,5,413592,3712,4118,4014.08,562615.0
8,17,414542,1158,1162,266.05,297010.0
8,13,415149,1733,2076,137.23,1022140.0
8,10,416373,107,108,266.13,665770.0
15,9,417797,5025,5389,4096.0,7543150.0
8,22,418744,873,875,46.48,138740.0
8,21,420535,3178,3179,680.89,791980.0
15,22,421559,3264,3619,425.06,1169380.0
15,11,423004,1953,2321,499.78,927480.0
13,20,423754,2010,2010,1505.28,1435610.0
13,20,426343,2089,2090,1505.28,1435610.0
15,2,426719,387,389,412.6,3253850.0
15,15,429794,1605,1606,5140.48,2737010.0
8,3,431365,497,499,274.96,784350.0
2,5,433031,117,451,41.06,6619.0
5,14,434757,375,749,131.05,87000.0
3,21,435330,115,469,80.86,113140.0
8,16,435537,1521,1522,22.34,229530.0
8,19,435942,1202,1552,309.56,361060.0
8,22,436349,947,1321,46.48,138740.0
8,15,436696,612,975,630.71,324730.0
8,13,438211,911,912,137.23,1022140.0
8,17,438392,489,490,266.05,297010.0
8,19,438538,1573,1575,309.56,361060.0
8,12,438608,370,644,231.89,449400.0
8,1,438754,1426,1796,258.01,1046920.0
8,6,438786,373,839,230.65,122430.0
15,6,439208,1316,1318,1945.6,1031910.0
11,8,439542,1361,1735,1167.36,1147160.0
13,10,439991,349,682,1208.32,2948410.0
8,23,442107,0,1,0.0,
8,7,443204,528,529,373.81,427630.0
8,4,443472,621,622,171.69,407330.0
8,21,444008,2486,2487,680.89,791980.0
8,14,444878,468,470,313.68,203000.0
5,2,445767,369,726,39.35,165450.0
3,1,446069,313,654,36.89,149560.0
8,8,446796,670,671,441.41,472360.0
5,20,447019,535,536,142.84,138930.0
8,5,448059,976,978,328.42,46333.0
5,15,448421,404,404,251.44,139170.0
9,3,448788,734,1115,394.15,1120500.0
5,10,449356,359,359,113.55,285330.0
16,4,450048,2074,2427,2119.68,4946150.0
8,23,450399,0,1,0.0,
5,12,450703,281,281,99.52,192600.0
19,19,450858,6583,6955,17059.84,18362480.0
8,3,452139,516,517,274.96,784350.0
19,22,452439,14415,14773,2775.04,7055920.0
5,21,453160,2713,2713,263.47,339420.0
3,5,453524,658,658,41.06,6619.0
8,12,453563,619,620,231.89,449400.0
5,19,454415,1014,1381,129.23,154740.0
5,4,457623,587,587,73.68,174570.0
10,5,457750,1431,1787,654.16,86047.0
8,22,458029,1023,1025,46.48,138740.0
8,5,459190,899,900,328.42,46333.0
8,19,459444,1232,1600,309.56,361060.0
8,7,460374,669,670,373.81,427630.0
8,21,461849,3076,3078,680.89,791980.0
8,3,461899,741,743,274.96,784350.0
8,8,463079,893,894,441.41,472360.0
13,16,464904,2992,3358,35.82,1016490.0
8,4,465256,847,848,171.69,407330.0
19,16,466054,2806,2807,412.0,11673240.0
13,3,466651,1701,2061,1239.04,3473550.0
8,1,466845,1563,1564,258.01,1046920.0
8,14,468100,477,478,313.68,203000.0
8,12,468291,346,700,231.89,449400.0
8,22,468926,785,787,46.48,138740.0
15,13,470218,4224,4577,1198.08,8615180.0
15,17,470495,2437,2794,2375.68,2503370.0
8,11,471241,893,895,89.68,110040.0
8,14,471539,579,581,313.68,203000.0
5,14,471738,298,634,131.05,87000.0
8,17,473266,489,491,266.05,297010.0
8,6,473748,282,283,230.65,122430.0
8,11,473885,594,595,89.68,110040.0
7,12,474318,820,1182,165.44,321000.0
8,15,475486,606,607,630.71,324730.0
8,13,475698,825,826,137.23,1022140.0
9,5,476174,1166,1522,490.83,66190.0
13,10,476988,561,561,1208.32,2948410.0
5,11,477601,551,551,42.57,47160.0
8,5,478286,887,888,328.42,46333.0
3,19,480037,301,736,51.4,51580.0
8,11,480090,615,616,89.68,110040.0
15,8,481251,1626,1628,3819.52,3981320.0
13,11,481334,1343,1343,266.54,487320.0
3,2,481522,411,412,10.0,55150.0
5,18,484453,123,124,83.54,617040.0
8,21,484910,3863,3865,680.89,791980.0
16,21,485131,5483,5872,8151.04,9616900.0
15,3,486115,3348,3349,2375.68,6610950.0
8,18,486542,1560,1946,194.46,1439760.0
8,19,487680,833,1213,309.56,361060.0
8,2,488647,530,533,79.16,386050.0
8,22,489130,1111,1112,46.48,138740.0
5,20,489311,1166,1166,142.84,138930.0
5,15,489328,476,842,251.44,139170.0
8,18,489913,157,158,194.46,1439760.0
8,23,490665,0,1,0.0,
3,18,490840,126,127,26.6,205680.0
2,21,491943,1780,2162,80.86,113140.0
15,11,492713,1930,1931,499.78,927480.0
5,20,494089,690,690,142.84,138930.0
8,4,494557,595,596,171.69,407330.0
8,2,495165,346,348,79.16,386050.0
5,11,495173,449,449,42.57,47160.0
8,12,495685,356,357,231.89,449400.0
8,3,496128,468,469,274.96,784350.0
