query,size,min,max,runtime_s,exec_wallclock_s,total_cpu_sec,other_wallclock_s,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,io_time,cpu_time,shuffle_time,sum,max,multiwave,holder_norm,summed,cpu_only,powermean,max_offset,powermean_offset,multiwave_offset,type,short,complex,long,scans,aggs,joins,mem,ssd,net,cpu,factor,factor,io_acc,shuffle_acc,cpu_acc,0.3,offset_2,summed_re,cpu_only_re,powermean_re,max_offset_re,powermean_offset_re,multiwave_offset_re
3,15,3.690251722,3.889135577,3.782776928,3.064666667,13.399986,26.005,7709.962333,2.167,13.502,0.04533333333,3.854981167,1.67499825,0.0108016,5.540781017,3.854981167,4.560109181,4.4852836,1.80795552,1.634490414,1.487962535,1.375347346,1.605430449,1.582245983,1,0,0,0,3,1,2,4000,2000,1250,8,1.5,0.36,1.917388633,6.855917647,,0.3,0.3,0.8079555199,-0.335980558,0.4635469654,0.3753473461,0.5810148793,0.6054304486
3,16,5.545669931,5.88833571,5.701441234,4.797,20.839984,43.421,9852.064,3.618333333,19.456,0.074,4.926032,2.604998,0.0155648,7.5465948,4.926032,6.119873311,6.0403888,1.573190494,1.710161647,1.275770963,1.101945383,1.350817868,1.322540826,1,0,0,0,3,1,2,4000,2000,1250,8,1.5,0.36,1.444320221,4.264389189,,0.3,0.3,0.5731904941,-0.3819057744,0.2592013342,0.1019453825,0.3342482385,0.3508178676
3,17,9.171215561,13.84882381,11.20053854,10.30075,33.98998025,98.701,16396.242,8.225,28.605,0.254,8.198121,4.248747531,0.022884,12.46975253,8.198121,10.1285178,9.980378825,1.210567437,2.315426966,1.01700468,1.203622851,1.018228556,1.024984538,1,0,0,0,3,1,2,4000,2000,1250,8,1.5,0.36,1.033206201,1.27119685,,0.3,0.3,0.2105674374,-0.5525813624,-0.03110173288,-0.169174963,0.003847178603,0.01822855575
3,18,23.54150199,24.04672535,23.78329891,22.316,86.20498375,230.077,23423.512,19.173,46.212,0.28125,11.711756,10.77562297,0.0369696,22.52434857,11.711756,17.85709869,18.02687278,1.009336286,2.033233108,1.249699091,1.84861258,1.22500297,1.21797787,1,0,0,1,3,1,2,4000,2000,1250,8,1.5,0.36,1.59618627,1.198114133,,0.3,0.3,0.009336286465,-0.5010027349,-0.1921996426,-0.4590537731,-0.1760677193,-0.1836754485
3,19,44,44.92930896,44.58060256,43.544,153.4449808,419.341,41688.428,34.945,81.448,0.532,20.844214,19.18062259,0.0651584,40.08999499,20.844214,31.78342091,32.08502768,1.086156284,2.246780246,1.370022444,2.053554072,1.354678462,1.327395141,1,0,0,1,3,1,2,4000,2000,1250,8,1.5,0.36,1.652697991,1.456901991,,0.3,0.3,-0.07932218001,-0.5512441991,-0.2631584679,-0.5130393625,-0.2548909683,-0.2618174512
4,15,3.427411638,3.571601151,3.512666047,2.617666667,14.43332267,29.843,955.709,2.489,0.001,2.484666667,0.4778545,1.804165333,0.0000008,2.282020633,1.804165333,1.964600832,1.825616667,1.147082821,1.306113135,1.332416552,1.209550225,1.126071466,1.056245021,2,0,0,0,2,2,1,4000,2000,1250,8,1.5,0.36,3.199827217,8.282200136,,0.3,0.3,-0.1282233669,-0.1732464026,-0.3025786324,-0.1732464026,-0.1650515726,-0.1119568959
4,16,7.399969184,7.876093245,7.672820256,6.754333333,23.16666067,76.52933333,1482.476,6.379666667,0.001,6.375,0.741238,2.895832583,0.0000008,3.637071383,2.895832583,3.140736074,2.909657267,1.857080222,2.181750192,2.150557441,2.074533368,1.929403757,1.740003767,2,0,0,0,2,2,1,4000,2000,1250,8,1.5,0.36,6.127001384,21.24994333,,0.3,0.3,-0.4615203005,-0.5179638874,-0.5692162167,-0.5179638874,-0.5159171001,-0.481705166
4,17,15.43928566,22.79401938,17.83205968,16.92675,110.529987,200.0005,12459.7695,16.6705,0.001,16.66275,6.22988475,13.81624838,0.0000008,20.04613393,13.81624838,16.48056274,16.0369073,1.184287233,1.207651973,1.027073545,1.194021828,1.005117837,1.016830355,2,0,0,0,2,2,1,4000,2000,1250,8,1.5,0.36,2.552954706,55.54235189,,0.3,0.3,0.1842872332,-0.1624943728,-0.05257020397,-0.1624943728,-0.03130209284,-0.005091778287
4,18,32.65764019,33.36722438,32.86826685,31.34525,198.054985,335.1775,20819.269,27.93775,0.001,27.925,10.4096345,24.75687313,0.0000008,35.16650843,24.75687313,29.07383724,28.1332069,1.121908692,1.255976654,1.078125661,1.247975807,1.064939299,1.109170093,2,0,0,1,2,2,1,4000,2000,1250,8,1.5,0.36,2.608655786,93.08308511,,0.3,0.3,0.1219086919,-0.198702415,-0.1024730414,-0.198702415,-0.09098804763,-0.06097934323
4,19,65.37365228,66.55335501,65.89596935,64.624,434.2466517,698.589,36691.398,58.22666667,0.001,58.20466667,18.345699,54.28083146,0.0000008,72.62653126,54.28083146,61.17654002,58.10122517,1.123832187,1.186178666,1.056352647,1.182705282,1.050172791,1.105614342,2,0,0,1,2,2,1,4000,2000,1250,8,1.5,0.36,3.122793448,194.0150382,,0.3,0.3,0.1238321871,-0.1544808205,-0.1009342479,-0.1544808205,-0.09536356204,-0.0477757487
5,15,2.049,1205.428,4.374566132,3.45475,13.91998175,26.047,1762.61225,2.89525,62.96925,3.064,0.881306125,1.739997719,0.0503754,2.671679244,1.739997719,2.1415133,2.147418475,1.293100588,1.780801063,1.613228365,1.645120835,1.381064015,1.199359537,3,0,0,0,6,1,5,4000,2000,1250,8,1.5,0.36,2.450888841,8.744906178,,0.3,0.3,-0.2266649559,-0.3921419151,-0.3784156668,-0.3921419151,-0.2742113105,-0.2759206022
5,16,5.222,3758.331,7.271743654,6.3425,25.41498175,48.86725,3573.42875,5.431,81.726,5.655,1.786714375,3.176872719,0.0653808,5.028967894,3.176872719,4.022426242,4.036250475,1.261193178,1.878217075,1.576784661,1.793250847,1.447257672,1.313478082,3,0,0,0,6,1,5,4000,2000,1250,8,1.5,0.36,2.602656149,15.47700372,,0.3,0.3,-0.2071000562,-0.4423535327,-0.3636183721,-0.4423535327,-0.3068584194,-0.3090380384
5,17,10.224,20827.45,10.86360816,9.94575,57.2249785,80.93575,16470.72025,8.99425,110.5605,9.359,8.235360125,7.153122313,0.0884484,15.47693084,8.235360125,12.23396326,12.39923435,1.556135117,1.35258868,1.230069453,1.157106841,1.266265818,1.279430751,3,0,0,0,6,1,5,4000,2000,1250,8,1.5,0.36,1.053763388,24.09329013,,0.3,0.3,0.5561351168,-0.2445896677,0.2466867104,-0.13577557,0.2828830757,0.2662658179
5,18,20.036,38085.679,23.14764348,21.77783333,132.6033062,161.328,32364.45433,17.927,175.4951667,18.52766667,16.18222717,16.57541327,0.1403961333,32.89803657,16.57541327,26.00757022,26.34650848,1.510620275,1.298199513,1.194222117,1.285934567,1.210752687,1.202995394,3,0,0,1,6,1,5,4000,2000,1250,8,1.5,0.36,1.087656408,42.07045717,,0.3,0.3,0.5106202746,-0.222355456,0.2097855687,-0.222355456,0.2263161387,0.2107526869
5,19,31.699,67217.214,36.74765754,35.1828,190.1559736,239.9128,54525.4332,26.659,290.2628,28.016,27.2627166,23.7694967,0.23221024,51.26442354,27.2627166,40.56345477,41.05798088,1.457087655,1.467815551,1.15293424,1.2736908,1.163166512,1.158114115,3,0,0,1,6,1,5,4000,2000,1250,8,1.5,0.36,1.033899118,52.6408511,,0.3,0.3,0.4570876548,-0.3141678121,0.1669901452,-0.2148800948,0.1772224178,0.1631665123
6,15,0.193,231.25,1.109188709,0.304,0.539997,0.5865,231.25,0.1955,0,0,0.115625,0.067499625,0,0.2,0.115625,0.1478559286,0.1464997,1.52,1.136450191,2.056055533,1.564555921,1.670578712,1.484418014,,1,0,0,1,1,0,4000,2000,1250,8,1.5,0.36,2.125959079,,,0.3,0.3,-0.3421052632,0.4062487664,-0.5180930921,0.5645559211,0.6661174342,0.6705787124
6,16,0.285,333.259,1.246962373,0.3396666667,0.419997,0.994,333.259,0.3313333333,0,0,0.1666295,0.052499625,0,0.219129125,0.1666295,0.1857374331,0.181466325,1.550075403,1.345216519,1.828746424,1.550430324,1.606685279,1.34844993,,1,0,0,1,1,0,4000,2000,1250,8,1.5,0.36,1.408338531,,,0.3,0.3,-0.3548700932,0.2144248037,-0.4657517419,0.5504303238,0.5941108685,0.606685279
6,17,2.759997,489.997,5.176856244,4.27775,21,12.8085,489.997,4.2695,0,0,0.2449985,2.625,0,2.8699985,2.625,2.674664524,2.625,1.490506005,1.514247788,1.599359457,1.433082077,1.409628632,1.254995453,,0,0,0,1,1,0,4000,2000,1250,8,1.5,0.36,7.833966516,,,0.3,0.3,-0.3290869032,-0.3022032611,-0.3863596517,-0.3022032611,-0.3022032611,-0.290593297
6,18,14.428,791.856,16.54450075,14.01,44,44.99925,791.856,14.99975,0,0,0.395928,5.5,0,5.895928,5.5,5.570593278,5.5,2.376216263,2.457894737,2.514992443,2.390784983,2.362326894,2.363500107,,0,0,0,1,1,0,4000,2000,1250,8,1.5,0.36,21.55359462,,,0.3,0.3,-0.5791628837,-0.5817273376,-0.6074232691,-0.5817273376,-0.5817273376,-0.5766885597
6,19,28.68,1395.797,30.64740231,26.77925,62,86.30475,1395.797,28.76825,0,0,0.6978985,7.75,0,8.4478985,7.75,7.888998176,7.75,3.169930368,3.368459119,3.394505792,3.302003699,3.246363913,3.313232682,,0,0,1,1,1,0,4000,2000,1250,8,1.5,0.36,28.82883379,,,0.3,0.3,-0.6845356573,-0.6971535797,-0.710596824,-0.6971535797,-0.6971535797,-0.6919630619
7,15,1.606,2290.045,3.334638099,2.403666667,8.473315333,14.63733333,2289.97,1.627666667,33.768,1.692,1.144985,1.059164417,0.0270144,2.231163817,1.144985,1.752334414,1.790333933,1.077315188,1.908937892,1.371694037,1.597136627,1.137919569,1.013464945,3,0,0,0,6,1,4,4000,2000,1250,8,1.5,0.36,1.126424611,5.174084077,,0.3,0.3,-0.07176654417,-0.4095835182,-0.2551654694,-0.3738794897,-0.1053942865,-0.121203267
7,16,3.393,6194.08,5.361581926,4.439333333,22.43331267,30.77833333,6194.08,3.421,48.66,3.5405,3.09704,2.804164083,0.038928,5.940132083,3.09704,4.689037883,4.759891267,1.338068498,1.477726652,1.056248209,1.284142889,1.137341466,1.167545578,3,0,0,0,6,1,4,4000,2000,1250,8,1.5,0.36,1.007053199,10.44617146,,0.3,0.3,0.3380684975,-0.2872434112,0.07220857486,-0.221270461,0.1533018321,0.1373414663
7,17,5.581,9144.574,11.01213024,10.0834,41.4399784,67.1728,9144.5698,7.4664,71.53,7.63825,4.5722849,5.1799973,0.057224,9.8095062,5.1799973,7.751184,7.85904976,1.027921263,1.874238859,1.300885129,1.82010919,1.243147733,1.176629094,3,0,0,0,6,1,4,4000,2000,1250,8,1.5,0.36,1.532422704,21.38224195,,0.3,0.3,-0.0271628419,-0.4505824127,-0.2205952595,-0.4505824127,-0.1848930162,-0.1955903763
7,18,21.543,14726.081,26.10339063,24.66575,90.804978,194.97425,14726.081,21.66625,115.55,22.013,7.3630405,11.35062225,0.09244,18.80610275,11.35062225,15.02648508,15.0633702,1.31158222,2.135447724,1.641485009,2.106271509,1.603078927,1.575970972,3,0,0,1,6,1,4,4000,2000,1250,8,1.5,0.36,2.827369893,56.09265111,,0.3,0.3,-0.2375620952,-0.5252274003,-0.3893001348,-0.5252274003,-0.3747049978,-0.376200396
7,19,41.55,25941.873,51.24961984,51.24525,177.6649723,380.34275,25941.873,42.266,203.582,43.491,12.9709365,22.20812153,0.1628656,35.34192363,22.20812153,28.41117996,28.30611203,1.449984741,2.286905216,1.803700166,2.270691866,1.781131329,1.719433242,3,0,0,1,6,1,4,4000,2000,1250,8,1.5,0.36,3.184854362,93.96032023,,0.3,0.3,-0.3103375702,-0.5596055921,-0.4476344242,-0.5596055921,-0.4406093828,-0.4385590867
8,15,1.612,907.084,3.129662231,2.172,21,11.50133333,907.084,1.644333333,18.552,1.6815,0.453542,2.625,0.0148416,3.0933836,2.625,2.749949885,2.6398416,1.424209761,1.300644567,1.266091107,1.374309392,1.431836964,1.322775844,2,0,0,0,8,1,7,4000,2000,1250,8,1.5,0.36,2.18213893,5.340780888,,0.3,0.3,0.4242097606,0.3743093923,0.2153966851,0.3743093923,0.3811425414,0.4318369636
8,16,6.099,535.107,8.226959738,7.312,45,94.07033333,535.107,6.274666667,30.064,6.4655,0.2675535,5.625,0.0240512,5.9166047,5.625,5.664879102,5.6490512,1.235843929,1.25527897,1.290760115,1.221720969,1.213634311,1.150776447,2,0,0,0,8,1,7,4000,2000,1250,8,1.5,0.36,11.0556391,19.95209399,,0.3,0.3,-0.1908363375,-0.1814824945,-0.2274273523,-0.1814824945,-0.1781932166,-0.1760285692
8,17,1.122,654.284,15.43991834,14.497,67,76.68825,654.282,12.575,39.235,1.293666667,0.327141,8.375,0.031388,8.733529,8.375,8.419326558,8.406388,1.659924642,1.690612245,1.721871684,1.659645106,1.651265607,1.558582032,2,0,0,0,8,1,7,4000,2000,1250,8,1.5,0.36,20.05131222,3.903782475,,0.3,0.3,-0.397563013,-0.3974615438,-0.4201291302,-0.3974615438,-0.3952964062,-0.3944039071
8,18,5.089,1599.994,26.74689645,25.26875,109,125.149,1599.9915,20.07,63.282,5.104,0.79999575,13.625,0.0506256,14.47562135,13.625,13.75597561,13.6756256,1.745607279,1.827757685,1.836928962,1.806846621,1.790081727,1.762490533,2,0,0,1,8,1,7,4000,2000,1250,8,1.5,0.36,18.24552504,14.55683784,,0.3,0.3,-0.4271334613,-0.4465495919,-0.4587929518,-0.4465495919,-0.4445461054,-0.4413662881
8,19,37.287,5339.182,49.09279452,47.736,192,263.61,5339.17925,37.648,111.56,39.05,2.669589625,24,0.089248,26.75883763,24,24.59354075,24.089248,1.783933991,1.972561983,1.940997455,1.959605911,1.912995052,1.918493053,2,0,0,1,8,1,7,4000,2000,1250,8,1.5,0.36,12.67784602,100.3216458,,0.3,0.3,-0.4394411424,-0.4896933132,-0.4953651751,-0.4896933132,-0.487823697,-0.4772594949
9,15,2.582,2696.462,6.902793461,5.998,29.91997,30.021,2696.462,3.272666667,70.471,2.6045,1.348231,3.73999625,0.0563768,5.14460405,3.73999625,4.266175525,4.1269586,1.165881755,1.522336474,1.40594309,1.462928167,1.296535328,1.226736138,,0,0,0,6,1,5,4000,2000,1250,8,1.5,0.36,1.985563108,7.30827596,,0.3,0.3,-0.142280085,-0.3164394381,-0.3119442147,-0.3164394381,-0.2519242081,-0.2287136505
9,16,3.297,3834.555,11.27035653,10.365,53.48663367,56.87533333,3834.555,6.896333333,101.538,3.3035,1.9172775,6.685829208,0.0812304,8.684337108,6.685829208,7.359575908,6.963715767,1.193528058,1.505265334,1.408369195,1.471083061,1.34269034,1.33160858,,0,0,0,6,1,5,4000,2000,1250,8,1.5,0.36,3.110270741,8.665363518,,0.3,0.3,-0.1621478911,-0.3202287305,-0.3281509149,-0.3202287305,-0.2934186429,-0.2552266369
9,17,6.121,5753.123,19.75328001,18.81666667,95.66663233,112.099,5753.123,12.45533333,149.259,6.1415,2.8765615,11.95832904,0.1194072,14.95429774,11.95832904,12.88896035,12.07773624,1.258278188,1.547635913,1.459905698,1.527534019,1.420237223,1.454828674,,0,0,0,6,1,5,4000,2000,1250,8,1.5,0.36,3.921011236,14.643287,,0.3,0.3,-0.2052631847,-0.3453500952,-0.3581362493,-0.3453500952,-0.3390042741,-0.2958922753
9,18,12.07,10846.008,35.74259623,34.2282,196.2319622,184.7026,10846.008,21.3478,241.048,12.14525,5.423004,24.52899528,0.1928384,30.14483768,24.52899528,26.21177565,24.72183368,1.135458096,1.384132255,1.305832938,1.3752343,1.288141239,1.363085308,,0,0,1,6,1,5,4000,2000,1250,8,1.5,0.36,3.730173874,24.6434734,,0.3,0.3,-0.1192981905,-0.272851179,-0.2777349181,-0.272851179,-0.2672172748,-0.2236876128
9,19,31.815,92989.342,73.08351174,71.448,447.3149613,468.16025,92989.342,39.01325,424.759,32.127,46.494671,55.91437016,0.3398072,102.7488484,55.91437016,81.46866374,82.26704013,1.438092716,1.27325674,1.140251144,1.2696366,1.145289774,1.146182472,,0,0,1,6,1,5,4000,2000,1250,8,1.5,0.36,1.199455852,50.21356434,,0.3,0.3,0.4380927158,-0.2123730523,0.151425374,-0.2123730523,0.1564640035,0.1452897736
10,15,2.088,2624.838,4.463516173,3.546,17.749975,20.28,2600.6655,2.28,638.166,3.144,1.30033275,2.218746875,0.5105328,4.029612425,2.218746875,2.983176934,3.3257965,1.136382523,1.466048406,1.188665667,1.375086494,1.060667763,1.081164784,,0,0,0,4,1,3,4000,2000,1250,8,1.5,0.36,1.424703706,3.878930008,,0.3,0.3,0.1363825226,-0.2727730189,-0.06209912578,-0.2727730189,0.03942371686,-0.05719770612
10,16,3.074,3864.009,6.333932333,5.4025,31.769974,27.582,3854.2835,3.078,922.778,4.978,1.92714175,3.97124675,0.7382224,6.6366109,3.97124675,5.012848536,5.4569332,1.228433299,1.295176316,1.077730548,1.247331383,1.005518761,1.098359255,,0,0,0,4,1,3,4000,2000,1250,8,1.5,0.36,1.382040456,4.794733768,,0.3,0.3,0.2284332994,-0.1982884313,0.01007555761,-0.1982884313,0.07671137436,-0.005488470979
10,17,4.821,7865.39,11.9146166,10.996,62.5799772,47.55,7697.2902,5.839,1365.62775,10.5355,3.8486451,7.82249715,1.0925022,12.76364445,7.82249715,9.776954675,10.429416,1.160753406,1.370645548,1.124685586,1.343844037,1.084743925,1.001242121,,0,0,0,4,1,3,4000,2000,1250,8,1.5,0.36,1.407447458,7.565876736,,0.3,0.3,0.1607534058,-0.2558660286,-0.05152637323,-0.2558660286,-0.01878719534,-0.07812343802
10,18,15.66,17020.695,27.47141611,25.9986,133.123972,104.754,17020.6936,15.901,2232.895,23.628,8.5103468,16.6404965,1.786316,26.9371593,16.6404965,20.83402556,21.90699064,1.036100378,1.543814341,1.247891337,1.529284748,1.226694755,1.173641521,,0,0,1,4,1,3,4000,2000,1250,8,1.5,0.36,1.804809772,11.3252259,,0.3,0.3,0.03610037848,-0.34609954,-0.157378065,-0.34609954,-0.1435311655,-0.1848012755
10,19,29.162,30190.711,53.52240357,51.8225,232.32497,191.2685,30190.71,29.18025,4020.453,43.43566667,15.095355,29.04062125,3.2163624,47.35233865,29.04062125,36.54416101,38.5251434,1.094402124,1.772277667,1.4180788,1.762632822,1.404245445,1.337219533,,0,0,1,4,1,3,4000,2000,1250,8,1.5,0.36,1.895393123,12.35244316,,0.3,0.3,-0.08625908341,-0.4326668677,-0.2565942708,-0.4326668677,-0.2496474813,-0.2878737806
11,15,0.259987,1237.873,12.81537313,0.7364,1.747985,27.9872,1345.388,0.637,96.04475,0.45425,0.672694,0.218498125,0.0768358,0.968027925,0.672694,0.7696124967,0.813359275,1.314540908,1.759625566,1.045101163,1.402354699,1.533965911,5.539724532,,1,0,0,2,2,0,4000,2000,1250,8,1.5,0.36,1.526992151,1.20543218,,0.3,0.3,0.3145409085,-0.2144240562,0.1045074348,0.4023546985,0.5933721822,0.5339659107
11,16,0.059994,1776.538,9.549488301,1.775833333,1.796652167,16.90616667,1776.176,0.685,124.9058,0.6892,0.888088,0.2245815208,0.09992464,1.212594161,0.888088,0.9832203474,1.033952753,1.464491081,4.182549749,1.806139731,1.422843047,1.322071495,3.768613401,,0,0,0,2,2,0,4000,2000,1250,8,1.5,0.36,1.734435036,1.723324674,,0.3,0.3,-0.3171689381,-0.6708128461,-0.4177647569,-0.2971817926,-0.21504303,-0.2436112544
11,17,0.627,2601.543,4.771743148,2.5174,3.5679836,8.5034,2436.216,0.891,168.74075,0.6515,1.218108,0.44599795,0.1349926,1.79909855,1.218108,1.41984589,1.49888857,1.399256311,3.896916391,1.773009323,1.595201342,1.414392119,1.591170541,,0,0,0,2,2,0,4000,2000,1250,8,1.5,0.36,1.703824916,1.497726628,,0.3,0.3,-0.2853346508,-0.6798292087,-0.4045886351,-0.3731198856,-0.2615839477,-0.2929824858
11,18,0.956,4202.268,5.176107878,3.154,9.7519836,10.889,3716.9036,1.2418,253.80575,0.889,1.8584518,1.21899795,0.2030446,3.28049435,1.8584518,2.507606966,2.6650044,1.040106008,2.222695248,1.257772866,1.421712205,1.099871788,1.242761683,,0,0,0,2,2,0,4000,2000,1250,8,1.5,0.36,1.738163794,1.767238929,,0.3,0.3,0.04010600824,-0.4993665346,-0.1550398224,-0.2966227647,-0.04089904883,-0.09080311795
11,19,1.74,7420.036,6.554453736,4.7045,19.853315,16.9785,6479.075667,2.207666667,443.8372,1.5338,3.239537833,2.481664375,0.35506976,6.076271968,3.239537833,4.626652668,4.932031527,1.291587197,1.754320952,1.016825843,1.306973344,1.05997506,1.01903321,,0,0,0,2,2,0,4000,2000,1250,8,1.5,0.36,1.603293598,2.341430018,,0.3,0.3,0.291587197,-0.3959688862,0.04836465653,-0.2348734545,0.124887135,0.05997505958
12,15,0,357.007,2.083503375,1.15125,2.1949905,3.45175,251.523,0.58925,0,0.5736666667,0.1257615,0.2743738125,0,0.4001353125,0.2743738125,0.3285442661,0.32010825,2.877151714,2.426883546,3.504094026,1.814781722,1.672005791,1.144713989,2,0,0,0,1,1,0,4000,2000,1250,8,1.5,0.36,1.383990802,1.912222222,,0.3,0.3,-0.6524340391,-0.448969544,-0.7219472313,-0.448969544,-0.4092436482,-0.401915947
12,16,0,357.007,2.31224823,1.368,2.849989,4.0525,357.007,0.7035,0,0.6356666667,0.1785035,0.356248625,0,0.534752125,0.356248625,0.4361591349,0.4278017,2.558194603,2.459331922,3.136469904,1.909951311,1.718249455,1.199422238,2,0,0,0,1,1,0,4000,2000,1250,8,1.5,0.36,1.470208682,2.118888889,,0.3,0.3,-0.6090993238,-0.4764264437,-0.6872794591,-0.4764264437,-0.4241215643,-0.4180123283
12,17,0,606.386,9.953682205,9.0468,79.483989,27.0958,516.2688,7.0054,0,2.03875,0.2581344,9.935498625,0,10.19363303,9.935498625,9.963217785,9.935498625,1.126766705,1.120340742,1.101297452,1.138026554,1.141090528,1.14887118,2,0,0,0,1,1,0,4000,2000,1250,8,1.5,0.36,12.55145714,6.795833333,,0.3,0.3,0.1267667048,0.1380265536,0.09823347758,0.1380265536,0.1380265536,0.1410905276
12,18,0,4920.691,30.81678687,29.1086,129.3879898,84.385,4920.3138,24.6792,0,3.431,2.4601569,16.17349873,0,18.63365563,16.17349873,16.80699786,16.17349873,1.562151871,1.777787417,1.731933343,1.760583194,1.695613888,1.743672113,2,0,0,1,1,1,0,4000,2000,1250,8,1.5,0.36,8.941230841,11.43666667,,0.3,0.3,-0.3598573746,-0.4320063924,-0.4443738715,-0.4320063924,-0.4320063924,-0.4102430943
