query_id,size,cpu_time,data_scanned,shuffled_mb
4,5,0.734,48.595,0.0
5,5,0.708,89.624,3.202
6,5,0.027,11.758,0.0
7,5,0.431,116.439,1.717
8,5,1.068,46.123,0.943
9,5,1.521,137.108,3.583
10,5,0.903,132.237,32.449
11,5,0.089,68.41,4.884
12,5,0.112,12.789,0.0
13,5,4.03,144.431,54.376
14,5,0.073,38.296,5.138
15,5,0.128,41.034,17.668
16,5,0.391,69.425,24.172
17,5,0.508,1.042,0.101
18,5,2.872,701.272,0.017
19,5,0.337,26.103,7.381
20,5,0.126,8.13,2.424
21,5,2.021,392.28,0.172
22,5,0.227,64.952,6.164
1,6,3.185,1218.588,0.0
2,6,0.347,2.029,0.542
3,6,0.908,522.709,0.915
4,6,0.979,64.794,0.0
5,6,0.944,119.499,4.269
6,6,0.037,15.678,0.0
7,6,0.574,155.252,2.289
8,6,1.424,61.497,1.258
9,6,2.028,182.811,4.778
10,6,1.203,176.316,43.265
11,6,0.119,91.213,6.512
12,6,0.149,17.052,0.0
13,6,5.374,192.574,72.502
14,6,0.097,51.061,6.851
15,6,0.17,54.712,23.557
16,6,0.521,92.566,32.23
17,6,0.678,1.39,0.135
18,6,3.83,935.03,0.022
19,6,0.449,34.804,9.841
20,6,0.167,10.84,3.233
21,6,2.695,523.04,0.23
22,6,0.303,86.603,8.219
1,7,3.981,1523.235,0.0
2,7,0.434,2.536,0.677
3,7,1.136,653.387,1.144
4,7,1.223,80.992,0.0
5,7,1.18,149.374,5.336
6,7,0.046,19.597,0.0
7,7,0.718,194.065,2.862
8,7,1.78,76.872,1.572
9,7,2.536,228.514,5.972
10,7,1.504,220.395,54.082
11,7,0.148,114.016,8.139
12,7,0.186,21.316,0.0
13,7,6.717,240.718,90.627
14,7,0.121,63.826,8.564
15,7,0.213,68.39,29.446
16,7,0.651,115.708,40.287
17,7,0.847,1.737,0.169
18,7,4.787,1168.787,0.028
19,7,0.561,43.504,12.301
20,7,0.209,13.55,4.041
21,7,3.369,653.801,0.287
22,7,0.379,108.254,10.274
1,8,5.574,2132.529,0.0
2,8,0.608,3.55,0.948
3,8,1.59,914.741,1.602
4,8,1.712,113.389,0.0
5,8,1.652,209.123,7.471
6,8,0.064,27.436,0.0
7,8,1.005,271.691,4.006
8,8,2.492,107.62,2.201
9,8,3.55,319.919,8.361
10,8,2.106,308.554,75.715
11,8,0.207,159.622,11.395
12,8,0.26,29.842,0.0
13,8,9.404,337.005,126.878
14,8,0.17,89.356,11.989
15,8,0.298,95.747,41.224
16,8,0.911,161.991,56.402
17,8,1.186,2.432,0.236
18,8,6.702,1636.302,0.039
19,8,0.785,60.906,17.222
20,8,0.293,18.97,5.657
21,8,4.716,915.321,0.402
22,8,0.53,151.556,14.383
1,9,7.963,3046.469,0.001
2,9,0.868,5.072,1.355
3,9,2.271,1306.773,2.288
4,9,2.446,161.985,0.0
5,9,2.359,298.748,10.673
6,9,0.092,39.195,0.0
7,9,1.436,388.131,5.723
8,9,3.559,153.743,3.144
9,9,5.071,457.027,11.944
10,9,3.008,440.791,108.164
11,9,0.296,228.032,16.279
12,9,0.372,42.631,0.0
13,9,13.434,481.436,181.254
14,9,0.242,127.652,17.127
15,9,0.426,136.781,58.892
16,9,1.302,231.415,80.575
17,9,1.695,3.474,0.337
18,9,9.574,2337.574,0.056
19,9,1.122,87.009,24.603
20,9,0.419,27.1,8.082
21,9,6.737,1307.601,0.575
22,9,0.757,216.508,20.547
1,10,10.352,3960.41,0.001
2,10,1.129,6.593,1.761
3,10,2.953,1698.805,2.975
4,10,3.18,210.58,0.0
5,10,3.067,388.372,13.875
6,10,0.119,50.953,0.0
7,10,1.867,504.57,7.44
8,10,4.627,199.866,4.088
9,10,6.593,594.136,15.528
10,10,3.911,573.028,140.613
11,10,0.385,296.441,21.162
12,10,0.484,55.42,0.0
13,10,17.464,625.866,235.63
14,10,0.315,165.947,22.265
15,10,0.554,177.815,76.559
16,10,1.692,300.84,104.747
17,10,2.203,4.517,0.439
18,10,12.446,3038.846,0.073
19,10,1.459,113.111,31.984
20,10,0.544,35.23,10.506
