query_id,query_duration,query_duration_with_queue,start_delay
2,256,256,2690132
17,360,360,2694420
4,696,697,2695740
6,183,183,2697383
1,1142,1142,2699494
18,2215,2215,2699688
14,273,273,2706667
14,277,277,2707142
18,2156,2157,2709857
6,193,194,2716382
19,264,265,2718381
10,742,743,2721854
2,253,253,2729812
3,770,770,2739191
17,356,356,2741081
9,1750,2518,2741394
4,1064,1064,2743333
2,264,1006,2743731
4,695,695,2748743
8,453,454,2750067
3,796,796,2751239
23,0,0,2759866
16,2057,2057,2758904
12,292,293,2766726
6,197,198,2771614
9,1970,2718,2771810
2,417,1128,2774349
1,1002,1726,2773906
9,2535,2535,2773459
18,2158,2158,2780301
16,3165,3166,2784013
10,747,748,2791009
6,189,191,2791763
19,263,263,2794390
20,1351,1352,2795389
6,196,1324,2795760
15,605,605,2797807
8,830,830,2803327
9,2147,2148,2802703
1,886,887,2804644
11,246,246,2806490
14,289,290,2807741
1,885,886,2808793
2,252,253,2809937
15,602,603,2811784
9,1708,1708,2812882
9,1692,1692,2822605
23,0,1,2833393
16,2301,3083,2835642
17,360,361,2838996
11,251,251,2842653
14,282,283,2843831
20,1249,1250,2844919
3,760,761,2846856
11,250,251,2849985
22,527,527,2853681
14,283,284,2854902
22,522,523,2858082
1,889,890,2860588
11,264,986,2860884
23,0,1,2868502
9,1703,1704,2867698
20,1425,1426,2868166
3,780,782,2870026
2,249,250,2872384
20,1478,1479,2872146
9,1697,1699,2872831
11,246,247,2877283
20,1093,1094,2877610
15,593,594,2879026
8,904,1668,2879584
18,2213,2214,2879516
9,2060,2061,2883268
3,795,796,2887442
23,0,0,2891883
16,3522,3523,2890914
3,786,787,2900388
4,693,693,2903127
6,182,183,2904130
1,884,885,2905616
6,195,1011,2905657
10,736,737,2909978
17,359,360,2914687
16,2188,2189,2922429
12,347,1102,2937870
4,721,1463,2937659
4,702,703,2940591
20,1130,1130,2947531
8,457,457,2948727
20,1262,1263,2948087
23,0,1,2950386
4,729,730,2950377
11,261,261,2951170
11,321,1047,2951204
10,767,1548,2950889
16,2483,2484,2950802
12,310,311,2953674
20,1127,1127,2955029
14,239,241,2961322
2,249,251,2967462
8,449,449,2968039
1,886,887,2968592
4,692,1481,2984228
20,1346,2070,2985600
20,1333,1333,2991378
4,694,694,2993469
4,690,690,2997364
9,1499,2262,2997407
3,688,688,3001270
15,559,560,3001841
17,355,355,3003943
2,261,261,3004200
12,309,309,3008644
1,887,887,3014859
15,589,1338,3015212
1,899,899,3016325
20,1432,2168,3015675
6,190,190,3020681
23,0,1,3026661
6,196,197,3026490
11,248,249,3026921
20,1329,1331,3027512
19,346,1098,3028819
3,747,747,3029407
8,446,446,3032640
4,685,686,3035340
20,1222,1223,3037040
23,0,1,3039889
15,562,562,3041651
19,264,976,3041712
12,296,297,3044040
6,197,197,3045431
14,228,229,3046116
6,183,185,3046212
17,382,382,3046369
10,742,744,3046428
15,632,632,3046904
6,191,191,3052695
11,242,244,3053355
2,251,252,3054122
16,2681,2682,3052323
6,197,197,3058846
12,297,299,3059038
20,1224,1224,3059513
14,234,235,3061522
17,350,351,3061599
19,391,392,3062943
17,351,352,3067246
6,182,183,3068029
10,659,660,3071261
20,1309,1310,3080305
8,640,1373,3081341
9,1637,2399,3080712
8,445,446,3086435
2,255,255,3089790
18,1979,2707,3103229
15,570,1320,3117505
17,362,362,3121685
11,451,1163,3122724
12,453,453,3124259
18,2140,2141,3122592
1,960,1727,3123205
17,401,402,3127200
4,706,706,3127219
23,0,1,3128284
2,251,252,3129219
3,681,682,3132990
3,668,669,3135313
1,886,887,3137551
2,254,255,3139170
3,672,673,3144290
18,1998,1998,3153733
8,449,450,3155823
1,886,887,3157534
22,531,532,3167419
1,889,890,3168516
23,0,0,3175294
2,255,255,3177466
9,1558,1558,3181780
18,1982,2757,3199612
16,2336,2337,3203406
4,687,687,3209263
23,0,0,3210717
3,668,669,3213613
16,2826,2827,3215675
9,1542,1544,3222260
12,283,283,3226092
16,2836,3564,3223307
10,695,696,3229716
16,2545,2546,3230112
2,248,249,3235057
10,668,668,3236069
16,2605,2605,3235310
1,887,888,3240907
1,907,908,3241136
20,1384,2138,3241554
9,1484,1485,3243795
23,0,1,3248073
8,459,459,3250062
18,1974,1974,3255046
1,885,885,3259032
4,693,695,3260277
20,1162,1977,3288378
10,1317,2073,3289768
16,2685,3421,3289085
3,963,963,3292072
10,1168,1169,3292051
18,2636,3343,3289885
2,270,1034,3292335
23,0,0,3295027
11,527,528,3295033
18,2021,2021,3294734
23,0,0,3298966
22,531,533,3299798
3,684,685,3304268
19,260,260,3306970
15,580,580,3309143
17,364,366,3314576
1,889,891,3315222
22,534,535,3316431
4,703,703,3317968
18,1977,2712,3318663
6,193,193,3323494
12,295,296,3326977
2,259,259,3332654
1,883,884,3333934
11,251,251,3335431
10,684,685,3336522
20,1322,2078,3370065
15,671,1382,3371779
17,474,1235,3372688
4,709,709,3373379
22,536,536,3374811
16,3051,3052,3372470
16,3222,3223,3375799
23,0,1,3379673
22,543,543,3381327
4,693,694,3390292
4,830,830,3391155
6,181,182,3395434
23,0,0,3398848
2,254,255,3398939
23,0,0,3401489
15,590,591,3406203
20,1207,1208,3411600
2,254,255,3415253
16,2872,2872,3416269
8,447,448,3422268
6,211,979,3422512
6,196,197,3426067
11,268,269,3426448
18,1979,1980,3429398
19,256,256,3433307
9,2066,2066,3435272
18,2288,3061,3435394
15,572,573,3439478
1,883,883,3449272
6,183,184,3450866
23,0,1,3452710
4,689,690,3459138
17,353,354,3461806
16,2410,2411,3463819
9,1579,1580,3469483
1,883,885,3474053
20,1404,2165,3474571
20,1404,1405,3481991
17,365,366,3483869
23,0,1,3486264
10,677,677,3488208
20,1266,1266,3488962
6,190,190,3492767
11,262,263,3493125
23,0,1,3494403
16,2961,2962,3494024
3,814,1524,3496263
4,803,804,3497029
2,276,1042,3496837
14,249,249,3498284
18,2010,2010,3498531
8,505,506,3505787
19,285,286,3506010
4,698,699,3507384
1,887,888,3513947
16,2476,2477,3515166
20,1280,2046,3517223
11,272,273,3520003
19,284,285,3522873
6,190,191,3525008
6,196,197,3529619
22,557,558,3531723
14,248,248,3533868
2,263,264,3538887
22,541,541,3539283
4,801,802,3541555
17,361,362,3542727
8,460,460,3544279
11,260,260,3545460
17,361,361,3545943
18,2018,2019,3546698
8,477,1206,3547657
15,570,570,3548783
17,367,368,3555602
1,894,895,3556825
14,238,239,3557766
20,1604,1604,3556794
6,208,209,3563255
3,725,726,3563208
15,593,594,3564040
11,268,268,3566557
12,311,312,3567993
8,462,463,3568827
2,261,262,3575803
22,750,751,3576725
10,754,1515,3575987
11,251,969,3577456
19,263,263,3581328
4,861,862,3584695
23,0,0,3585599
9,1556,1556,3585204
1,881,881,3586958
11,248,249,3589046
10,697,698,3589392
15,577,577,3593760
14,237,237,3594784
1,882,883,3598991
14,226,227,3604646
16,2343,2344,3605118
20,1314,1315,3609721
11,249,250,3615556
9,1531,2252,3631125
3,1067,1831,3632632
9,2047,2048,3633578
6,193,194,3635857
9,1982,2698,3633357
1,884,885,3636260
23,0,1,3637585
6,185,186,3637447
20,1556,1557,3639577
1,884,885,3641336
23,0,0,3668480
19,263,1070,3669720
6,185,186,3671353
14,243,243,3674267
8,458,459,3680544
9,1505,1507,3683822
19,265,266,3685580
19,275,1027,3685267
16,2545,2546,3686155
23,0,0,3691099
11,260,261,3693569
4,694,694,3697859
12,304,304,3705109
4,754,755,3705737
3,737,738,3707287
3,766,767,3714317
17,371,1091,3714501
23,0,0,3716039
2,258,259,3724798
18,2434,2435,3725108
9,1971,2711,3725292
10,1297,1297,3729801
18,2271,2272,3729590
4,724,725,3731550
18,2019,2778,3731768
16,2343,2344,3735269
17,358,358,3740546
20,1219,1220,3744709
9,1608,2360,3745116
6,203,204,3750957
8,520,521,3753772
18,2065,2066,3752499
23,0,0,3756174
22,604,605,3762413
9,2052,2053,3761154
23,0,0,3764758
3,812,1521,3773406
18,2191,2963,3801796
17,361,361,3804760
1,887,887,3806419
8,455,456,3807730
1,886,886,3810256
12,298,299,3814825
11,253,253,3817570
15,599,600,3824239
19,285,1029,3824688
8,472,473,3825497
6,187,187,3833459
4,806,806,3840217
11,255,255,3843380
6,198,199,3848200
22,536,537,3849726
17,373,1135,3850104
20,1195,1195,3853536
20,1147,1147,3854299
14,299,300,3855152
20,1145,1146,3855802
17,361,361,3856606
15,588,589,3857415
8,458,459,3859075
2,257,257,3860983
15,587,588,3866474
23,0,0,3868865
12,301,301,3869360
15,598,1383,3869553
20,1058,1059,3872477
15,586,586,3874620
