query,total_scan_mb,total_cpu_sec,shuffle_mb,expected_io,calculated_io,io_diff,expected_cpu,calculated_cpu,cpu_diff,expected_shuffle,calculated_shuffle,shuffle_diff
query_59,335.671,0.8999786667,105.8276667,0.2582084615,0.25820846153846155,3.846156726439176e-11,0.1124973333,0.1124973333375,3.750000310276391e-11,0.08466213333,0.08466213336,3.000000248221113e-11
query_60,0.015,1.499978,0.0,1.153846154e-05,1.1538461538461538e-05,1.5384625539661967e-15,0.18749725,0.18749725,0.0,0.0,0.0,0.0
query_61,452.4033333,1.953314,0.155,0.3480025641,0.3480025640769231,2.307692925640481e-11,0.24416425,0.24416425,0.0,0.000124,0.000124,0.0
query_62,53.635,0.539987,0.29,0.04125769231,0.04125769230769231,2.3076957011980426e-12,0.067498375,0.067498375,0.0,0.000232,0.00023199999999999997,2.710505431213761e-20
query_63,4467.555,7.61497475,3.572,3.436580769,3.4365807692307695,2.307696256309555e-10,0.9518718438,0.95187184375,5.000000413701855e-11,0.0028576,0.0028576,0.0
query_64,3521.786,18.0039734,688.893,2.709066154,2.709066153846154,1.538458249683572e-10,2.250496675,2.250496675,0.0,0.5511144,0.5511144,0.0
query_65,270.81425,0.844984,0.067,0.2083186538,0.20831865384615386,4.615385851280962e-11,0.105623,0.105623,0.0,5.36e-05,5.36e-05,0.0
query_66,37863.532,284.939971,24077.565,29.12579385,29.125793846153847,3.846153617814707e-09,35.61749638,35.617496375,4.999996860988176e-09,19.262052,19.262052,0.0
query_67,116.1588,4.0959826,27.446,0.08935292308,0.08935292307692308,3.0769137238095823e-12,0.511997825,0.511997825,0.0,0.0219568,0.021956800000000002,3.469446951953614e-18
query_68,53.409,0.32,0.0,0.04108384615,0.04108384615384615,3.846152563102834e-12,0.04,0.04,0.0,0.0,0.0,0.0
query_69,2623.91825,5.589976,0.007,2.018398654,2.018398653846154,1.538458249683572e-10,0.698747,0.698747,0.0,5.6e-06,5.6e-06,0.0
query_70,20.528,2.159973,6.573,0.01579076923,0.01579076923076923,7.692284309523956e-13,0.269996625,0.269996625,0.0,0.0052584,0.005258400000000001,8.673617379884035e-19
query_71,9804.32375,74.3749585,264.163,7.5417875,7.5417875,0.0,9.296869813,9.2968698125,5.000000413701855e-10,0.2113304,0.2113304,0.0
query_72,14.38475,3.56498425,1.84625,0.01106519231,0.011065192307692307,2.3076922317510906e-12,0.4456230313,0.44562303125,5.000000413701855e-11,0.001477,0.001477,0.0
query_73,2454.27125,52.7349705,1142.6615,1.887900962,1.8879009615384614,4.615385851280962e-10,6.591871313,6.5918713125,5.000000413701855e-10,0.9141292,0.9141292,0.0
query_74,3651.223,9.074948,622.046,2.808633077,2.8086330769230767,7.692335657338845e-11,1.1343685,1.1343685,0.0,0.4976368,0.49763680000000005,5.551115123125783e-17
query_75,217.608,3.414985,0.838,0.1673907692,0.16739076923076923,3.076922050482267e-11,0.426873125,0.426873125,0.0,0.0006704,0.0006703999999999999,1.0842021724855044e-19
query_76,648.3586667,0.959973,0.627,0.4987374359,0.4987374359230769,2.307687374525358e-11,0.119996625,0.119996625,0.0,0.0005016,0.0005016,0.0
query_77,10320.463,97.5999355,3145.402,7.938817692,7.938817692307692,3.076925381151341e-10,12.19999194,12.1999919375,2.5000002068509275e-09,2.5163216,2.5163216,0.0
query_78,655.21125,6.189982,107.88475,0.5040086538,0.5040086538461538,4.615374749050716e-11,0.77374775,0.77374775,0.0,0.0863078,0.0863078,0.0
query_79,1768.254,1.5359874,0.452,1.360195385,1.3601953846153845,3.846154505993127e-10,0.191998425,0.191998425,0.0,0.0003616,0.0003616,0.0
query_80,797.556,0.62497525,317.516,0.6135046154,0.6135046153846154,1.538458249683572e-11,0.07812190625,0.07812190625,0.0,0.2540128,0.25401280000000004,5.551115123125783e-17
query_81,0.527,0.819993,0.003,0.0004053846154,0.0004053846153846154,1.538461198713481e-14,0.102499125,0.102499125,0.0,2.4e-06,2.4e-06,0.0
query_82,254.382,0.019997,6.547,0.1956784615,0.19567846153846155,3.8461539508816145e-11,0.002499625,0.002499625,0.0,0.0052376,0.005237599999999999,8.673617379884035e-19
query_83,3.104,0.08999265,0.474,0.002387692308,0.0023876923076923077,3.076922397426962e-13,0.01124908125,0.01124908125,0.0,0.0003792,0.0003792,0.0
query_84,1070.6432,1.7159892,84.2952,0.8235716923,0.8235716923076923,7.69229124841786e-12,0.21449865,0.21449865,0.0,0.06743616,0.06743616,0.0
